Id,ItemID,Depressive,SentimentSource,SentimentText,WC,Analytic,Clout,Authentic,Tone,WPS,Sixltr,Dic,function,pronoun,ppron,i,we,you,shehe,they,ipron,article,prep,auxverb,adverb,conj,negate,verb,adj,compare,interrog,number,quant,affect,posemo,negemo,anx,anger,sad,social,family,friend,female,male,cogproc,insight,cause,discrep,tentat,certain,differ,percept,see,hear,feel,bio,body,health,sexual,ingest,drives,affiliation,achieve,power,reward,risk,focuspast,focuspresent,focusfuture,relativ,motion,space,time,work,leisure,home,money,relig,death,informal,swear,netspeak,assent,nonflu,filler
18,19,0,Sentiment140,    HUGE roll of thunder just now...SO scary!!!!,11,32.58,50,85.21,1,2.75,18.18,72.73,36.36,0,0,0,0,0,0,0,0,0,9.09,0,27.27,9.09,0,0,9.09,0,0,18.18,0,9.09,0,9.09,9.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.09,0,9.09,0,0,0,0,0,0,9.09,0,0,9.09,0,0,0,9.09,0,27.27,9.09,9.09,9.09,0,0,0,0,0,0,0,0,0,0,0,0
19,20,0,Sentiment140,    I just cut my beard off. It's only been growing for well over a year. I'm gonna start it over. @shaunamanu is happy in the meantime.,29,60.46,15.04,99,85.87,4.14,13.79,86.21,58.62,17.24,10.34,10.34,0,0,0,0,6.9,6.9,17.24,13.79,10.34,0,0,24.14,3.45,0,0,6.9,0,10.34,6.9,3.45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.45,3.45,0,0,0,6.9,0,0,6.9,0,0,3.45,13.79,3.45,31.03,6.9,13.79,10.34,0,0,0,0,0,0,6.9,0,3.45,0,3.45,0
20,21,0,Sentiment140,    Very sad about Iran.,7,68.29,50,1,1,1.75,14.29,42.86,28.57,0,0,0,0,0,0,0,0,0,14.29,0,28.57,0,0,0,14.29,0,0,28.57,0,14.29,0,14.29,0,0,14.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,22,0,Sentiment140,    wompppp wompp,5,93.26,50,1,25.77,1.25,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,23,1,Sentiment140,    You're the only one who can see this cause no one else is following me this is for you because you're pretty awesome,26,1.92,93.79,5.76,99,6.5,15.38,88.46,57.69,26.92,15.38,3.85,0,11.54,0,0,11.54,3.85,3.85,19.23,3.85,3.85,3.85,23.08,3.85,0,3.85,15.38,0,7.69,7.69,0,0,0,0,15.38,0,0,0,0,15.38,0,7.69,0,3.85,0,3.85,3.85,3.85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.08,0,3.85,3.85,0,0,0,0,0,0,0,0,3.85,0,0,3.85,0,0
23,24,0,Sentiment140,   &lt;---Sad level is 3. I was writing a massive blog tweet on Myspace and my comp shut down. Now it's all lost *lays in fetal position*,30,70.69,36.95,98.01,1,5,16.67,73.33,36.67,10,6.67,6.67,0,0,0,0,3.33,3.33,10,10,3.33,3.33,0,23.33,10,0,0,10,3.33,6.67,0,6.67,0,0,6.67,3.33,0,0,0,0,3.33,0,0,0,0,3.33,0,0,0,0,0,0,0,0,0,0,13.33,3.33,3.33,6.67,0,0,6.67,13.33,0,26.67,0,23.33,3.33,3.33,3.33,0,0,0,0,0,0,0,0,0,0
24,25,0,Sentiment140,   ...  Headed to Hospitol : Had to pull out of the Golf Tourny in 3rd place!!!!!!!!!!! I Think I Re-Ripped something !!! Yeah THAT !!,25,96.24,21.18,96.63,25.77,3.57,12,68,44,16,8,8,0,0,0,0,8,4,20,4,0,0,0,12,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,8,4,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,20,8,12,0,0,4,0,0,0,0,4,0,0,4,0,0
25,26,0,Sentiment140,   BoRinG   ): whats wrong with him??     Please tell me........   :-/,12,38.6,79.76,1,1,2.4,8.33,75,33.33,25,16.67,8.33,0,0,8.33,0,8.33,0,8.33,8.33,0,0,0,16.67,16.67,0,0,16.67,0,33.33,8.33,25,0,0,0,16.67,0,0,0,8.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.33,0,0,0,0,8.33,0,16.67,0,0,0,0,0,0,0,0,0,0,0,8.33,0,8.33,0,0,0
26,27,0,Sentiment140,   can't be bothered. i wish i could spend the rest of my life just sat here and going to gigs. seriously.,24,27.87,1.89,23.51,1,4,12.5,79.17,54.17,12.5,12.5,12.5,0,0,0,0,0,4.17,8.33,8.33,12.5,4.17,4.17,25,0,0,0,8.33,0,8.33,0,8.33,0,4.17,0,0,0,0,0,0,12.5,0,0,8.33,0,0,4.17,0,0,0,0,4.17,0,4.17,0,0,0,0,0,0,0,0,4.17,12.5,8.33,8.33,4.17,0,4.17,0,0,0,4.17,0,0,0,0,0,0,0,0
27,28,0,Sentiment140,"   Feeeling like shit right now. I really want to sleep, but nooo I have 3 hours of dancing and an art assignment to finish. ",27,83.33,6.93,92.47,1,5.4,14.81,77.78,44.44,7.41,7.41,7.41,0,0,0,0,0,3.7,14.81,3.7,7.41,7.41,0,14.81,0,3.7,0,11.11,0,3.7,0,3.7,0,3.7,0,3.7,0,0,0,0,11.11,0,0,3.7,0,0,7.41,0,0,0,0,7.41,7.41,0,0,0,3.7,3.7,0,0,0,0,0,11.11,0,18.52,3.7,3.7,11.11,3.7,7.41,0,0,0,0,3.7,3.7,0,0,0,0
28,29,1,Sentiment140,"   goodbye exams, HELLO ALCOHOL TONIGHT ",8,93.26,99,7.84,25.77,2,50,62.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.5,0,12.5,0,12.5,12.5,12.5,0,0,0,0,0,0,12.5,12.5,0,0,12.5,12.5,12.5,0,0,0,0,0,0,0,0,0,0
29,30,0,Sentiment140,   I didn't realize it was THAT deep. Geez give a girl a warning atleast!,17,42.68,27.83,66.34,1,3.4,23.53,70.59,41.18,17.65,5.88,5.88,0,0,0,0,11.76,11.76,0,11.76,0,0,5.88,23.53,5.88,0,0,11.76,0,5.88,0,5.88,0,0,0,11.76,0,0,5.88,0,11.76,5.88,0,0,0,0,5.88,0,0,0,0,0,0,0,0,0,5.88,0,0,0,0,5.88,11.76,11.76,0,5.88,0,5.88,0,0,0,0,0,0,0,0,0,0,0,0,0
30,31,0,Sentiment140,   I hate it when any athlete appears to tear an ACL on live television.,17,85.92,27.83,28.81,1,4.25,23.53,70.59,35.29,11.76,5.88,5.88,0,0,0,0,5.88,5.88,11.76,0,5.88,5.88,0,17.65,0,0,5.88,11.76,5.88,5.88,0,5.88,0,5.88,0,0,0,0,0,0,11.76,0,0,0,11.76,0,0,5.88,5.88,0,0,5.88,0,5.88,0,0,0,0,0,0,0,0,0,17.65,0,11.76,0,5.88,5.88,0,11.76,0,0,0,0,0,0,0,0,0,0
31,32,0,Sentiment140,   i miss you guys too     i think i'm wearing skinny jeans a cute sweater and heels   not really sure   what are you doing today,27,4.69,35.54,79.42,88.52,6.75,11.11,85.19,48.15,22.22,18.52,11.11,0,7.41,0,0,3.7,3.7,0,11.11,7.41,3.7,3.7,22.22,7.41,0,3.7,7.41,0,11.11,7.41,3.7,0,0,3.7,11.11,0,3.7,0,3.7,14.81,3.7,0,0,0,3.7,7.41,0,0,0,0,11.11,11.11,0,0,0,0,0,0,0,0,0,0,18.52,0,3.7,0,0,3.7,0,0,0,0,0,0,0,0,0,0,0,0
32,33,0,Sentiment140,  -- Meet your Meat http://bit.ly/15SSCI,11,80.14,99,1,25.77,2.75,9.09,45.45,9.09,9.09,9.09,0,0,9.09,0,0,0,0,0,0,0,0,0,9.09,0,0,0,18.18,9.09,0,0,0,0,0,0,18.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.09,0,0,0,9.09,9.09,9.09,0,0,0,0,0,9.09,0,0,0,0,0,0,0,0,0,0,0,9.09,0,9.09,0,0,0
33,34,0,Sentiment140,   My horsie is moving on Saturday morning.,10,78.3,15.86,99,25.77,2.5,30,60,30,10,10,10,0,0,0,0,0,0,10,10,0,0,0,20,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,40,10,10,20,0,0,0,0,0,0,0,0,0,0,0,0
34,35,0,Sentiment140,   No Sat off...Need to work 6 days a week ,13,99,22.08,63.54,25.77,3.25,7.69,69.23,30.77,0,0,0,0,0,0,0,0,7.69,15.38,0,0,0,7.69,15.38,0,0,0,23.08,0,0,0,0,0,0,0,0,0,0,0,0,7.69,0,0,7.69,0,0,0,0,0,0,0,0,0,0,0,0,7.69,0,7.69,0,0,0,7.69,15.38,0,30.77,0,7.69,23.08,7.69,0,0,0,0,0,0,0,0,0,0,0
35,36,0,Sentiment140,   Really Dont Like Doing my Room Its So Boring  Sick Of Doing My Wardrobe Out Cant Waiit Till I Have My Walk In One  Yay,28,14.58,1,99,1,7,7.14,82.14,60.71,17.86,14.29,14.29,0,0,0,0,3.57,0,17.86,14.29,7.14,7.14,7.14,17.86,7.14,3.57,0,10.71,0,10.71,3.57,7.14,0,0,0,0,0,0,0,0,7.14,0,0,0,0,0,7.14,0,0,0,0,3.57,0,3.57,0,0,0,0,0,0,0,0,0,14.29,0,17.86,3.57,10.71,3.57,0,0,3.57,0,0,0,3.57,0,0,3.57,0,0
36,37,0,Sentiment140,"   SOX!     Floyd was great, but relievers need a scolding!",12,81.63,20.24,1,99,2.4,25,50,25,0,0,0,0,0,0,0,0,8.33,0,8.33,0,8.33,0,16.67,8.33,0,0,16.67,0,16.67,16.67,0,0,0,0,0,0,0,0,0,16.67,0,0,8.33,0,0,8.33,0,0,0,0,0,0,0,0,0,8.33,0,0,0,8.33,0,8.33,8.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37,38,0,Sentiment140,   times by like a million,8,99,50,7.84,25.77,2,25,62.5,37.5,0,0,0,0,0,0,0,0,12.5,25,0,0,0,0,0,0,12.5,0,37.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.5,0,0,12.5,0,0,0,0,0,0,0,0,0,0,0,0
38,39,1,Sentiment140,   uploading pictures on friendster ,7,99,50,13.15,25.77,1.75,57.14,28.57,14.29,0,0,0,0,0,0,0,0,0,14.29,0,0,0,0,0,0,0,0,28.57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.29,14.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.29,0,14.29,0,0,0,0,0,0,0,0,0,0,0,0,0
39,40,0,Sentiment140,   what type of a spaz downloads a virus? my brother that's who :\ MSN is now fucked forever    :'(,20,52.71,50,15.86,1,4,20,60,45,20,5,5,0,0,0,0,15,10,5,10,5,0,0,15,0,0,10,10,0,5,0,5,0,5,0,10,5,0,0,5,5,0,0,0,0,5,0,0,0,0,0,5,0,0,5,0,5,5,0,0,0,0,5,15,0,10,0,0,10,0,0,0,0,0,0,5,5,0,0,0,0
40,41,0,Sentiment140,  &amp;&amp;Fightiin Wiit The Babes...,9,98.87,98.62,1,1,2.25,22.22,44.44,11.11,0,0,0,0,0,0,0,0,11.11,0,0,0,0,0,0,0,0,0,22.22,0,11.11,0,11.11,0,11.11,0,22.22,0,11.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.11,0,0,0,0,0,0,0,0,0,0
41,42,1,Sentiment140,  (: !!!!!! - so i wrote something last week. and i got a call from someone in the new york office... http://tumblr.com/xcn21w6o7,27,75.9,50,58.07,88.52,3.86,14.81,74.07,37.04,14.81,7.41,7.41,0,0,0,0,7.41,7.41,7.41,0,3.7,7.41,0,7.41,3.7,0,0,7.41,0,3.7,3.7,0,0,0,0,7.41,0,0,0,0,7.41,0,0,0,7.41,0,0,0,0,0,0,0,0,0,0,0,3.7,0,0,0,3.7,0,7.41,0,0,14.81,0,3.7,11.11,7.41,3.7,0,0,0,0,11.11,0,11.11,0,0,0
42,43,0,Sentiment140,  *enough said*,5,93.26,97.69,1,25.77,1.25,20,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,40,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,20,0,20,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
43,44,1,Sentiment140,"  ... Do I need to even say it?  Do I?  Well, here I go anyways:  CHRIS CORNELL IN CHICAGO!  ... TONIGHT!    ",22,13.54,18.16,61.34,94.75,2.75,22.73,72.73,54.55,18.18,13.64,13.64,0,0,0,0,4.55,0,9.09,9.09,18.18,0,0,22.73,0,0,0,9.09,0,4.55,4.55,0,0,0,0,4.55,0,0,0,0,4.55,0,0,4.55,0,0,0,4.55,0,4.55,0,0,0,0,0,0,0,0,0,0,0,0,0,22.73,4.55,13.64,4.55,4.55,4.55,0,0,0,0,0,0,9.09,0,0,0,4.55,4.55
44,45,1,Sentiment140,  ... health class (what a joke!),8,93.26,50,1,99,1.6,12.5,62.5,25,12.5,0,0,0,0,0,0,12.5,12.5,0,0,0,0,0,0,0,0,12.5,25,0,12.5,12.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.5,0,12.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.5,12.5,0,0,0,0,0,0,0,0,0,0
45,46,1,Sentiment140,  @ginaaa &lt;3 GO TO THE SHOW TONIGHT,11,99,50,31.94,25.77,2.75,18.18,45.45,18.18,0,0,0,0,0,0,0,0,9.09,9.09,0,0,0,0,9.09,0,0,0,27.27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.09,9.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.09,9.09,18.18,9.09,0,9.09,0,0,0,0,0,0,0,0,0,0,0,0
46,47,0,Sentiment140,  @Spiral_galaxy @YMPtweet  it really makes me sad when i look at Muslims reality now,18,18.82,4.8,99,1,4.5,22.22,66.67,38.89,16.67,11.11,11.11,0,0,0,0,5.56,0,5.56,0,16.67,5.56,0,11.11,5.56,0,5.56,11.11,0,5.56,0,5.56,0,0,5.56,0,0,0,0,0,11.11,0,5.56,0,0,0,5.56,5.56,5.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.67,0,22.22,5.56,5.56,11.11,0,0,0,0,5.56,0,0,0,0,0,0,0
47,48,0,Sentiment140, - All Time Low shall be my motivation for the rest of the week.,16,97.36,26.6,95.6,1,4,12.5,75,43.75,6.25,6.25,6.25,0,0,0,0,0,12.5,12.5,12.5,0,0,0,12.5,0,0,0,12.5,6.25,6.25,0,6.25,0,0,6.25,0,0,0,0,0,12.5,6.25,6.25,0,0,6.25,0,0,0,0,0,0,0,0,0,0,12.5,0,6.25,6.25,0,0,0,6.25,6.25,18.75,0,6.25,12.5,6.25,0,0,0,0,0,0,0,0,0,0,0
48,49,0,Sentiment140,"  and the entertainment is over, someone complained properly..   @rupturerapture experimental you say? he should experiment with a melody",21,79.28,99,1,25.77,3.5,38.1,66.67,47.62,14.29,9.52,0,0,4.76,4.76,0,4.76,9.52,9.52,9.52,0,4.76,0,14.29,0,0,0,9.52,0,9.52,4.76,4.76,0,0,0,23.81,0,0,0,4.76,14.29,0,4.76,4.76,4.76,0,0,4.76,0,4.76,0,0,0,0,0,0,4.76,0,0,4.76,0,0,0,9.52,0,4.76,0,4.76,0,0,4.76,0,0,0,0,0,0,0,0,0,0
49,50,0,Sentiment140,  another year of Lakers .. That's neither magic nor fun ...,12,6.95,1,74.76,99,2.4,25,58.33,41.67,16.67,0,0,0,0,0,0,16.67,0,8.33,8.33,0,8.33,16.67,8.33,16.67,8.33,0,16.67,8.33,8.33,8.33,0,0,0,0,0,0,0,0,0,16.67,0,0,0,0,0,16.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.33,0,8.33,0,0,8.33,0,8.33,0,0,0,0,0,0,0,0,0,0
50,51,0,Sentiment140,  baddest day eveer. ,6,93.26,50,23.51,25.77,1.5,33.33,16.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.67,0,0,16.67,0,0,0,0,0,0,0,0,0,0,0,0
51,52,1,Sentiment140,  bathroom is clean..... now on to more enjoyable tasks......,12,93.26,50,23.51,99,2.4,25,75,33.33,0,0,0,0,0,0,0,0,0,16.67,8.33,8.33,0,0,8.33,16.67,8.33,0,16.67,8.33,8.33,8.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.67,0,16.67,0,8.33,8.33,8.33,8.33,8.33,0,0,0,0,0,0,0,0,0
52,53,1,Sentiment140,  boom boom pow,6,93.26,50,1,25.77,1.5,16.67,33.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33.33,0,33.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
53,54,0,Sentiment140,  but i'm proud.,6,1.92,1,98.01,99,1.5,16.67,50,33.33,16.67,16.67,16.67,0,0,0,0,0,0,0,16.67,0,16.67,0,16.67,0,0,0,33.33,0,16.67,16.67,0,0,0,0,0,0,0,0,0,16.67,0,0,0,0,0,16.67,0,0,0,0,0,0,0,0,0,16.67,0,16.67,0,0,0,0,16.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
54,55,0,Sentiment140,  congrats to helio though,7,68.29,7.67,13.15,25.77,1.75,28.57,28.57,28.57,0,0,0,0,0,0,0,0,0,14.29,0,14.29,14.29,0,0,0,0,0,28.57,0,0,0,0,0,0,0,0,0,0,0,0,14.29,0,0,0,0,0,14.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
